district,rooms,size,level,max_levels,price,lat,lng
Yakkasaroy,4,96.0,2,5,84000,41.2658719,69.243421
Chilonzor,1,30.0,1,4,24500,41.2773103,69.2152083
Yakkasaroy,4,110.0,4,8,71800,41.2818558,69.2552666
Yakkasaroy,2,36.0,2,5,37000,41.2818558,69.2552666
Mirobod,3,100.0,3,7,130000,41.2784172,69.2711001
Sergeli,2,50.0,1,4,37000,41.207763,69.2288981
Mirzo Ulugbek,2,65.0,5,5,37000,41.3375577,69.3726789
Chilonzor,3,88.0,6,8,55000,41.271386,69.1961168
Mirzo Ulugbek,2,64.0,5,5,34000,41.3292204,69.3473509
Mirobod,4,100.0,7,9,105000,41.296644,69.275878
Mirzo Ulugbek,3,69.0,4,4,47000,41.3292204,69.3473509
Mirzo Ulugbek,2,59.0,3,5,44000,41.3292204,69.3473509
Mirzo Ulugbek,3,62.0,3,4,37000,41.3606566,69.3548004
Yakkasaroy,2,36.0,2,4,29500,41.2876117,69.2454228
Yakkasaroy,2,51.0,4,4,33500,41.2911414,69.2601933
Mirobod,1,38.0,2,9,37000,41.295316,69.275364
Yakkasaroy,2,59.0,1,2,33500,41.2818558,69.2552666
Yakkasaroy,2,42.0,2,2,34500,41.3051824,69.2638823
Yakkasaroy,2,45.0,1,2,40000,41.3091112,69.2672197
Mirobod,2,52.0,8,8,87000,41.2910722,69.2769129
Yakkasaroy,2,53.0,1,9,36500,41.2673079,69.2415634
Mirobod,4,120.0,2,8,145000,41.295316,69.275364
Yakkasaroy,3,106.0,4,6,138000,41.2789896,69.2616233
Yakkasaroy,2,42.0,1,2,37000,41.3051824,69.2638823
Yakkasaroy,4,100.0,7,9,60000,41.2697288,69.2512486
Yakkasaroy,1,40.0,2,5,27500,41.2673079,69.2415634
Mirobod,4,135.0,5,5,215000,41.2991561,69.2785087
Mirobod,3,105.0,2,8,172000,41.2991561,69.2785087
Yunusobod,3,70.0,4,4,64500,41.3245206,69.2773236
Mirobod,4,98.0,1,4,64000,41.2962915,69.2844476
Yakkasaroy,2,56.0,4,4,37000,41.2765672,69.2460335
Mirobod,2,50.0,3,5,38500,41.2962915,69.2844476
Mirzo Ulugbek,3,74.0,8,9,50000,41.314662,69.293391
Yakkasaroy,4,131.0,7,8,85000,41.2911414,69.2601933
Mirzo Ulugbek,2,60.0,3,9,53000,41.3171406,69.2892434
Mirobod,4,147.0,3,12,136500,41.2910722,69.2769129
Yunusobod,1,42.0,4,4,25000,41.3653679,69.2773236
Mirzo Ulugbek,3,65.0,4,5,41500,41.3215876,69.3230626
Uchtepa,1,42.0,4,5,25500,41.2867929,69.1789807
Mirzo Ulugbek,3,74.0,2,9,58000,41.3317732,69.324458
Uchtepa,2,58.0,2,5,33800,41.2867929,69.1789807
Mirzo Ulugbek,2,50.0,1,4,36500,41.3292204,69.3473509
Chilonzor,3,90.0,5,9,39500,41.259418,69.1804708
Mirobod,2,62.0,9,9,57000,41.3051824,69.2638823
Mirzo Ulugbek,2,64.0,1,4,65000,41.314662,69.293391
Chilonzor,3,67.0,4,4,35500,41.2729489,69.1916465
Mirobod,4,120.0,1,4,135000,41.2910722,69.2769129
Yakkasaroy,2,54.0,1,2,37000,41.2876117,69.2454228
Yashnobod,3,63.0,4,5,43500,41.2922516,69.3419071
Yakkasaroy,2,55.0,4,5,37000,41.2911414,69.2601933
Yakkasaroy,2,60.0,8,9,37000,41.2911414,69.2601933
Yakkasaroy,2,48.0,1,4,37500,41.2834892,69.2665263
Yunusobod,2,60.0,2,4,75000,41.3454697,69.2865609
Mirzo Ulugbek,2,47.0,3,9,46500,41.314662,69.293391
Mirzo Ulugbek,2,40.0,2,5,40000,41.314662,69.293391
Yunusobod,2,55.0,5,5,31500,41.3188889,69.2844444
Mirzo Ulugbek,2,50.0,2,4,32000,41.3292204,69.3473509
Mirzo Ulugbek,2,55.0,4,4,32000,41.3550649,69.3585936
Mirzo Ulugbek,2,60.0,2,4,42000,41.3550649,69.3585936
Mirzo Ulugbek,1,24.0,3,4,15000,41.319567,69.3246635
Yunusobod,3,81.0,4,4,61500,41.3245206,69.2773236
Mirzo Ulugbek,2,65.0,3,9,60000,41.3200874,69.3013967
Yakkasaroy,2,52.0,9,12,38500,41.2638329,69.2254764
Olmzor,3,113.0,3,4,80000,41.2807837,69.223683
Mirzo Ulugbek,2,60.0,1,4,39000,41.3550649,69.3585936
Chilonzor,2,51.0,1,4,36500,41.2798237,69.2058023
Uchtepa,2,50.0,1,4,36500,41.281265,69.1879213
Mirobod,4,130.0,3,9,105000,41.3028425,69.2792998
Mirzo Ulugbek,2,55.0,5,5,33000,41.3483691,69.3635622
Mirobod,3,113.0,5,5,65000,41.2962915,69.2844476
Chilonzor,2,50.0,5,5,42000,41.2847707,69.2288981
Chilonzor,2,51.0,1,4,39500,41.2798237,69.2058023
Chilonzor,5,100.0,2,4,68000,41.260048,69.162198
Uchtepa,2,54.0,3,5,35000,41.2797359,69.1670599
Mirzo Ulugbek,3,75.0,3,4,67000,41.3200874,69.3013967
Mirobod,5,235.0,6,7,375000,41.2991561,69.2785087
Yakkasaroy,2,48.0,1,4,39000,41.2854202,69.2631768
Yunusobod,3,125.0,3,9,82000,41.3682259,69.3041867
Yakkasaroy,2,53.0,9,12,39000,41.2818558,69.2552666
Yunusobod,2,60.0,2,9,55000,41.3137227,69.2695316
Yakkasaroy,2,53.0,5,8,43000,41.2818558,69.2552666
Yunusobod,4,160.0,3,9,105000,41.3682259,69.3041867
Yakkasaroy,2,42.0,2,2,39000,41.3051824,69.2638823
Yakkasaroy,2,40.0,1,4,40000,41.2865169,69.240584
Yakkasaroy,2,55.0,3,9,40000,41.2818558,69.2552666
Mirobod,2,50.0,4,4,47000,41.2991561,69.2785087
Yakkasaroy,2,50.0,2,2,41000,41.3051824,69.2638823
Chilonzor,1,30.0,2,4,25700,41.2914153,69.223963
Mirzo Ulugbek,1,26.0,3,4,22500,41.314662,69.293391
Sergeli,2,52.0,2,5,36500,41.210633,69.2281531
Mirzo Ulugbek,3,80.0,1,4,110000,41.3104865,69.2922234
Mirzo Ulugbek,1,40.0,5,5,26500,41.3196379,69.3200203
Mirzo Ulugbek,1,40.0,4,4,25000,41.3550649,69.3585936
Shayhontohur,4,100.0,5,9,76000,41.3275402,69.2102725
Mirzo Ulugbek,2,50.0,3,4,42000,41.3357758,69.34359
Yakkasaroy,2,52.0,4,4,41000,41.2891883,69.2576355
Mirobod,2,65.0,2,4,66000,41.3011646,69.285686
Mirzo Ulugbek,4,140.0,4,5,105000,41.3292204,69.3473509
Yakkasaroy,2,48.0,2,3,42000,41.2818558,69.2552666
Mirobod,1,45.0,1,4,42000,41.3000778,69.2943209
Shayhontohur,2,74.0,8,9,65000,41.3275402,69.2102725
Chilonzor,2,55.0,2,2,44000,41.2885649,69.2290098
Mirzo Ulugbek,1,40.0,1,4,24000,41.3550649,69.3585936
Mirzo Ulugbek,1,36.0,2,4,25000,41.3292204,69.3473509
Mirzo Ulugbek,1,18.0,4,4,12000,41.3292204,69.3473509
Mirzo Ulugbek,1,31.0,2,3,20000,41.3445193,69.3447348
Yunusobod,3,72.0,3,4,75000,41.3197131,69.2773236
Yunusobod,3,75.0,1,4,107000,41.3245206,69.2773236
Yunusobod,1,43.0,7,9,38000,41.3245206,69.2773236
Yunusobod,4,279.0,1,3,150000,41.3587493,69.2996732
Yashnobod,1,52.0,4,5,57000,41.3052221,69.2898134
Yakkasaroy,2,50.0,7,8,45000,41.2818558,69.2552666
Yakkasaroy,2,53.0,4,5,46000,41.2911414,69.2601933
Mirobod,3,85.0,2,5,78000,41.3000778,69.2943209
Yakkasaroy,2,55.0,2,4,146000,41.2865169,69.240584
Mirobod,3,80.0,3,5,72000,41.3466485,69.3328133
Mirobod,3,75.0,4,5,55000,41.2730207,69.2992286
Yunusobod,1,43.0,1,4,47500,41.3245206,69.2773236
Yunusobod,3,75.0,1,4,95000,41.3245206,69.2773236
Mirzo Ulugbek,3,110.0,5,5,105000,41.3057745,69.2915505
Yashnobod,3,86.0,4,9,89000,41.3112105,69.3285142
Yakkasaroy,2,69.0,4,9,47000,41.2818558,69.2552666
Olmzor,3,70.0,6,7,57000,41.3221852,69.2616787
Mirzo Ulugbek,2,60.0,3,5,45000,41.3292204,69.3473509
Yashnobod,3,80.0,1,5,78000,41.3052221,69.2898134
Mirobod,4,100.0,4,4,68000,41.3011646,69.285686
Yakkasaroy,2,68.0,9,9,47000,41.2818558,69.2552666
Yakkasaroy,2,66.0,2,9,47000,41.2697288,69.2512486
Mirobod,5,110.0,8,9,83000,41.2962915,69.2844476
Yashnobod,3,75.0,6,9,82000,41.3052221,69.2898134
Yakkasaroy,2,50.0,2,3,47000,41.2911414,69.2601933
Yakkasaroy,2,56.0,4,4,47000,41.2818558,69.2552666
Mirobod,4,145.0,5,9,120000,41.2986478,69.2884405
Yakkasaroy,2,60.0,5,9,48000,41.2818558,69.2552666
Yakkasaroy,2,51.0,4,4,49500,41.3051824,69.2638823
Yakkasaroy,2,65.0,2,8,75000,41.2823082,69.2567896
Yakkasaroy,2,51.0,5,5,51000,41.2911414,69.2601933
Mirzo Ulugbek,3,75.0,1,4,90000,41.3171406,69.2892434
Mirobod,3,80.0,4,4,88000,41.2983828,69.2730715
Mirobod,2,65.0,9,9,55000,41.2890324,69.2729933
Yashnobod,2,65.0,5,5,68000,41.3057745,69.2915505
Yunusobod,3,75.0,4,4,55000,41.3245206,69.2773236
Yunusobod,1,42.0,1,4,50000,41.3245206,69.2773236
Mirobod,1,42.0,1,9,46000,41.2991133,69.2877728
Mirobod,2,68.0,5,5,44000,41.295316,69.275364
Mirobod,4,120.0,1,2,130000,41.2772419,69.2820477
Yashnobod,2,65.0,1,5,71000,41.3052221,69.2898134
Yashnobod,4,95.0,4,5,91000,41.3057745,69.2915505
Yashnobod,4,100.0,1,5,98000,41.3052221,69.2898134
Mirobod,2,50.0,4,4,47000,41.2991561,69.2785087
Yakkasaroy,1,30.0,4,5,33500,41.28889,69.2571715
Yakkasaroy,2,50.0,2,5,52000,41.2911414,69.2601933
Mirobod,4,120.0,7,8,95000,41.2758912,69.2937133
Yashnobod,2,65.0,5,5,68000,41.3052221,69.2898134
Yakkasaroy,3,70.0,2,7,75000,41.2818558,69.2552666
Yashnobod,2,52.0,1,4,40000,41.3080076,69.3078679
Yashnobod,3,80.0,4,5,90000,41.3052221,69.2898134
Mirzo Ulugbek,3,75.0,6,7,69000,41.3146381,69.3228615
Yunusobod,3,131.0,4,8,125000,41.3188889,69.2844444
Mirzo Ulugbek,2,62.0,2,4,73000,41.3171406,69.2892434
Yashnobod,3,86.0,4,9,89000,41.3112105,69.3285142
Yakkasaroy,2,61.0,1,5,54000,41.2673079,69.2415634
Mirzo Ulugbek,2,50.0,3,4,33500,41.3351702,69.3688617
Mirobod,3,130.0,2,8,110000,41.296644,69.275878
Mirzo Ulugbek,2,64.0,5,5,34000,41.3292204,69.3473509
Uchtepa,4,90.0,5,5,42000,41.2902787,69.1839655
Mirzo Ulugbek,1,33.0,4,4,23000,41.3550649,69.3585936
Mirzo Ulugbek,2,51.0,3,4,35000,41.3445193,69.3447348
Mirzo Ulugbek,1,19.0,4,4,20500,41.3104865,69.2922234
Mirzo Ulugbek,2,38.0,2,4,35500,41.314662,69.293391
Mirzo Ulugbek,1,30.0,5,5,23500,41.3375577,69.3726789
Mirzo Ulugbek,2,52.0,1,2,31000,41.3357758,69.34359
Yakkasaroy,2,52.0,1,3,54000,41.3051824,69.2638823
Yakkasaroy,2,57.0,3,4,54998,41.2911414,69.2601933
Yashnobod,2,58.0,4,9,39000,41.3080076,69.3078679
Mirzo Ulugbek,5,100.0,4,4,48000,41.3550649,69.3585936
Mirzo Ulugbek,2,60.0,6,9,38500,41.3326551,69.3689542
Mirzo Ulugbek,2,52.0,5,5,32000,41.3215876,69.3230626
Yakkasaroy,1,39.0,1,5,26700,41.2697288,69.2512486
Shayhontohur,4,93.0,9,9,56000,41.3275402,69.2102725
Yunusobod,2,63.0,3,4,45000,41.3587493,69.2996732
Chilonzor,1,27.0,3,3,19500,41.2807837,69.223683
Yunusobod,3,70.0,3,4,57000,41.3825869,69.3019081
Mirzo Ulugbek,2,63.0,4,9,46000,41.314662,69.293391
Mirzo Ulugbek,1,23.0,2,3,17500,41.3239567,69.2232092
Yakkasaroy,4,210.0,5,5,250000,41.2876117,69.2454228
Mirzo Ulugbek,3,75.0,3,7,65000,41.3184239,69.3401073
Mirzo Ulugbek,3,80.0,1,4,92000,41.3171406,69.2892434
Yunusobod,1,28.0,3,4,26500,41.3197131,69.2773236
Sergeli,3,90.0,3,9,45000,41.218274,69.2624237
Mirzo Ulugbek,2,50.0,2,4,48000,41.3275712,69.3048756
Yakkasaroy,3,79.0,8,9,74000,41.2787427,69.2691785
Mirobod,5,110.0,5,9,135000,41.2758912,69.2937133
Mirobod,3,76.0,7,16,63000,41.2983828,69.2730715
Mirobod,4,110.0,9,9,85000,41.295316,69.275364
Yashnobod,3,87.0,8,9,43000,41.3123276,69.3159192
Sergeli,5,108.0,4,5,46500,41.2062435,69.2278644
Mirobod,4,150.0,6,9,145000,41.294532,69.2779052
Yakkasaroy,2,65.0,2,9,48500,41.2911414,69.2601933
Chilonzor,2,43.0,2,4,36000,41.2759136,69.2245267
Mirzo Ulugbek,6,347.0,3,9,240000,41.3203273,69.2993794
Yakkasaroy,5,280.0,1,8,280000,41.2911414,69.2601933
Yunusobod,1,40.0,3,5,30000,41.3766361,69.2765786
Mirobod,3,100.0,7,9,90000,41.2758912,69.2937133
Mirobod,3,105.0,7,8,93000,41.2758912,69.2937133
Shayhontohur,1,43.0,3,4,38500,41.3314152,69.2689007
Olmzor,2,53.0,2,4,23500,41.2807837,69.223683
Mirobod,3,80.0,2,4,80000,41.2758912,69.2937133
Sergeli,2,59.0,2,7,25000,41.2167651,69.2415634
Yakkasaroy,3,75.0,5,9,47000,41.2697288,69.2512486
Olmzor,1,42.0,4,5,22800,41.2807837,69.223683
Mirzo Ulugbek,3,83.0,5,8,110000,41.3201651,69.2951929
Mirobod,3,80.0,8,9,53000,41.2758912,69.2937133
Mirobod,2,60.0,8,9,32000,41.2758912,69.2937133
Mirobod,2,60.0,9,9,35000,41.2758912,69.2937133
Yunusobod,1,25.0,3,4,23501,41.3802576,69.3696992
Mirobod,2,60.0,5,8,42000,41.2758912,69.2937133
Sergeli,2,73.0,3,7,35200,41.210633,69.2281531
Yakkasaroy,4,190.0,7,8,200000,41.2818558,69.2552666
Yakkasaroy,2,100.0,8,8,120000,41.2789896,69.2616233
Shayhontohur,2,46.0,5,9,24500,41.3242925,69.2505036
Yunusobod,3,60.0,3,4,33200,41.3716355,69.2691287
Mirzo Ulugbek,3,80.0,7,9,90000,41.3117305,69.2893794
Olmzor,3,70.0,2,4,55000,41.3589705,69.2177228
Yakkasaroy,3,90.0,3,4,120000,41.2765672,69.2460335
Mirzo Ulugbek,3,70.0,9,9,45000,41.314662,69.293391
Yakkasaroy,3,80.0,1,10,95000,41.2843902,69.2585422
Yakkasaroy,3,80.0,4,4,80000,41.2986859,69.2595082
Mirobod,3,103.0,4,8,103000,41.296644,69.275878
Mirobod,2,63.0,6,16,76000,41.3051824,69.2638823
Yakkasaroy,1,39.0,2,5,26500,41.2673079,69.2415634
Yakkasaroy,2,64.0,1,5,42000,41.2673079,69.2415634
Yakkasaroy,3,67.0,7,9,47000,41.2818558,69.2552666
Yakkasaroy,3,67.0,4,4,52000,41.2885649,69.2290098
Yakkasaroy,4,105.0,1,4,135000,41.2818558,69.2552666
Shayhontohur,3,107.0,4,4,75000,41.3453662,69.1988148
Yakkasaroy,6,191.0,1,4,240000,41.2818558,69.2552666
Yashnobod,2,60.0,4,8,55000,41.3146381,69.3228615
Mirzo Ulugbek,2,52.0,2,4,40500,41.339688,69.340163
Yunusobod,3,67.0,4,5,46000,41.337706,69.284744
Yashnobod,3,70.0,2,9,70000,41.3146381,69.3228615
Mirzo Ulugbek,3,65.0,9,9,45500,41.3619703,69.3875774
Mirzo Ulugbek,2,48.0,2,5,39000,41.3292204,69.3473509
Mirzo Ulugbek,3,70.0,4,5,61000,41.3267921,69.3259097
Sergeli,3,75.0,1,7,60000,41.2062435,69.2278644
Yashnobod,3,90.0,3,8,192000,41.2994958,69.2400734
Sergeli,6,150.0,1,7,120000,41.2966126,69.2389163
Yashnobod,3,80.0,4,9,65000,41.2896055,69.3434849
Shayhontohur,3,92.0,5,8,123000,41.316655,69.2484841
Olmzor,4,96.0,4,4,51999,41.3589705,69.2177228
Yunusobod,4,80.0,3,4,95000,41.3245206,69.2773236
Yunusobod,2,50.0,7,9,39000,41.3245206,69.2773236
Mirzo Ulugbek,2,52.0,2,4,40500,41.339688,69.340163
Shayhontohur,3,96.0,4,8,110000,41.3333453,69.2475235
Chilonzor,2,52.0,3,4,36000,41.2901628,69.1968618
Yakkasaroy,4,140.0,9,12,121861,41.2818558,69.2552666
Mirzo Ulugbek,4,135.0,3,4,129000,41.3261864,69.327542
Shayhontohur,3,76.0,5,5,60000,41.3365221,69.2824454
Chilonzor,3,153.0,2,9,112000,41.2798237,69.2058023
Chilonzor,4,107.0,4,4,84000,41.2798237,69.2058023
Uchtepa,1,41.0,1,5,35000,41.2797359,69.1670599
Olmzor,4,210.0,4,9,85000,41.3196379,69.3200203
Yashnobod,3,79.0,4,9,62000,41.3196379,69.3200203
Uchtepa,1,44.0,5,5,24000,41.2797359,69.1670599
Uchtepa,4,96.0,8,9,67000,41.2814223,69.1760005
Uchtepa,3,72.0,5,5,45500,41.2814223,69.1760005
Uchtepa,2,45.0,1,4,35000,41.2814223,69.1760005
Yakkasaroy,3,110.0,3,6,285000,41.2851023,69.2580291
Mirobod,3,135.0,5,5,160000,41.2991561,69.2785087
Mirzo Ulugbek,3,75.0,3,4,72000,41.3292204,69.3473509
Mirobod,4,125.0,5,6,290000,41.3040665,69.2711332
Mirobod,2,45.0,5,6,56000,41.2910722,69.2769129
Yakkasaroy,2,52.0,1,3,54000,41.3051824,69.2638823
Yakkasaroy,2,57.0,3,4,55000,41.2911414,69.2601933
Yakkasaroy,2,57.0,2,3,55000,41.2818558,69.2552666
Mirobod,2,48.0,3,4,34000,41.2758912,69.2937133
Mirzo Ulugbek,1,46.0,2,4,60000,41.3171406,69.2892434
Mirzo Ulugbek,3,118.0,2,7,72000,41.31512,69.3234929
Yunusobod,3,58.0,4,4,68000,41.3245206,69.2773236
Uchtepa,4,82.0,4,5,47500,41.2978921,69.1804708
Mirobod,2,62.0,9,12,53000,41.2758912,69.2937133
Yakkasaroy,2,51.0,5,5,56000,41.2911414,69.2601933
Yakkasaroy,2,58.0,1,4,57997,41.2818558,69.2552666
Yakkasaroy,2,50.0,4,4,59000,41.3051824,69.2638823
Mirobod,3,105.0,5,9,110000,41.2758912,69.2937133
Uchtepa,2,65.0,7,9,36500,41.2978921,69.1804708
Yakkasaroy,4,96.0,3,9,63000,41.2697288,69.2512486
Shayhontohur,4,90.0,1,4,105000,41.3272955,69.24811
Mirobod,2,60.0,3,9,48000,41.2758912,69.2937133
Yunusobod,3,70.0,2,5,47500,41.3777696,69.2922234
Yakkasaroy,2,60.0,2,3,60000,41.2876117,69.2454228
Yakkasaroy,2,72.0,7,9,64000,41.2818558,69.2552666
Mirobod,3,75.0,2,9,74000,41.2983828,69.2730715
Yakkasaroy,2,54.0,3,4,65000,41.2818558,69.2552666
Shayhontohur,1,30.0,1,4,29000,41.3162377,69.2312263
Yakkasaroy,2,59.0,2,4,65000,41.2854202,69.2631768
Mirzo Ulugbek,1,33.0,1,4,29000,41.3606566,69.3548004
Yakkasaroy,2,61.0,2,3,67000,41.2911414,69.2601933
Mirzo Ulugbek,4,214.0,2,8,380000,41.325724,69.2942285
Yakkasaroy,2,55.0,4,5,67000,41.2911414,69.2601933
Mirzo Ulugbek,2,52.0,2,4,33000,41.333139,69.3252798
Yakkasaroy,2,54.0,2,4,69000,41.2911414,69.2601933
Chilonzor,3,70.0,3,4,48000,41.2807837,69.223683
Uchtepa,4,100.0,6,9,60000,41.2867929,69.1789807
Uchtepa,3,65.0,1,4,46600,41.2924208,69.1737654
Chilonzor,3,70.0,3,3,40000,41.2807837,69.223683
Shayhontohur,3,82.0,8,9,46500,41.3141622,69.2368973
Yakkasaroy,3,189.0,1,4,142500,41.2818558,69.2552666
Chilonzor,2,54.0,3,4,36000,41.2907835,69.2361597
Shayhontohur,3,74.0,4,4,46500,41.3227628,69.2048432
Mirzo Ulugbek,4,140.0,5,8,295000,41.3248901,69.2972856
Mirzo Ulugbek,3,71.0,4,4,60000,41.314662,69.293391
Yakkasaroy,2,63.0,4,4,72500,41.2911414,69.2601933
Uchtepa,1,42.16,1,4,29000,41.2814223,69.1760005
Yunusobod,2,54.0,2,4,38000,41.3653679,69.2773236
Chilonzor,2,54.0,3,5,40000,41.2710539,69.2101886
Yunusobod,3,70.0,1,9,69000,41.3298867,69.2803036
Yakkasaroy,4,90.0,3,4,90000,41.2933182,69.245305
Mirzo Ulugbek,3,75.0,4,9,67000,41.3200874,69.3013967
Shayhontohur,2,68.0,9,9,30000,41.3345513,69.167805
Shayhontohur,2,63.0,9,9,30000,41.3345513,69.167805
Yakkasaroy,2,58.0,2,5,60000,41.2911414,69.2601933
Yakkasaroy,2,60.0,5,8,74500,41.2818558,69.2552666
Yakkasaroy,2,77.0,4,4,87500,41.2854202,69.2631768
Mirzo Ulugbek,2,56.0,5,5,47000,41.3173835,69.2948592
Olmzor,4,80.0,1,4,53500,41.2807837,69.223683
Chilonzor,3,72.0,8,9,40000,41.2657122,69.1819609
Chilonzor,3,90.0,3,4,58000,41.2657122,69.1819609
Mirzo Ulugbek,2,60.0,8,9,48500,41.3104865,69.2922234
Mirobod,2,60.0,8,9,48500,41.2983828,69.2730715
Mirzo Ulugbek,2,80.0,6,6,70000,41.3242397,69.2982672
Mirzo Ulugbek,3,74.0,4,9,55000,41.3171406,69.2892434
Mirobod,2,52.0,4,4,45000,41.296644,69.275878
Mirzo Ulugbek,2,55.0,4,4,60000,41.3104865,69.2922234
Mirobod,2,66.0,2,4,72000,41.3041021,69.2704038
Mirobod,2,52.0,2,4,54000,41.3029081,69.279218
Mirzo Ulugbek,2,56.0,2,4,62000,41.3104865,69.2922234
Mirzo Ulugbek,2,65.0,2,3,67998,41.3104865,69.2922234
Mirzo Ulugbek,2,65.0,2,4,62000,41.3104865,69.2922234
Mirzo Ulugbek,2,60.0,1,5,70000,41.3104865,69.2922234
Mirzo Ulugbek,1,40.0,5,9,50000,41.3104865,69.2922234
Mirzo Ulugbek,1,50.0,5,9,56000,41.3104865,69.2922234
Yunusobod,1,40.0,4,4,40000,41.3197131,69.2773236
Yunusobod,2,60.0,4,4,65000,41.3245206,69.2773236
Mirzo Ulugbek,3,69.0,2,5,54000,41.3606566,69.3548004
Chilonzor,3,67.0,3,4,57000,41.271386,69.1961168
Yashnobod,2,104.0,7,7,130000,41.3146381,69.3228615
Olmzor,3,45.0,8,9,50000,41.3333453,69.2475235
Uchtepa,2,47.0,3,4,34500,41.2962523,69.1909015
Shayhontohur,3,82.0,3,3,67000,41.3199434,69.2540609
Olmzor,2,56.0,3,5,32000,41.3693776,69.1986902
Chilonzor,3,70.0,8,9,47400,41.274633,69.200587
Yakkasaroy,3,52.0,4,4,54000,41.2886404,69.2577907
Uchtepa,2,40.0,4,5,31000,41.2953086,69.182706
Mirobod,3,75.0,7,9,90000,41.2983828,69.2730715
Uchtepa,2,52.0,1,4,36500,41.2962523,69.1909015
Mirobod,2,48.0,3,5,42000,41.2679301,69.294961
Mirzo Ulugbek,3,83.0,3,4,90999,41.3171406,69.2892434
Mirzo Ulugbek,3,84.0,3,4,107000,41.3104865,69.2922234
Mirzo Ulugbek,3,75.0,3,4,69000,41.3292204,69.3473509
Yunusobod,3,130.0,2,9,220000,41.3197131,69.2773236
Yunusobod,3,112.0,2,9,130000,41.3245206,69.2773236
Yunusobod,3,73.0,2,9,110000,41.3197131,69.2773236
Mirobod,3,74.0,2,9,93000,41.2983828,69.2730715
Yunusobod,3,100.0,2,4,89000,41.3298867,69.2803036
Mirzo Ulugbek,3,84.0,2,4,91998,41.3104865,69.2922234
Yunusobod,3,70.0,1,4,50000,41.3714709,69.2810486
Yakkasaroy,3,75.0,1,4,73000,41.2818558,69.2552666
Yunusobod,2,54.0,9,9,50000,41.3197131,69.2773236
Yashnobod,4,96.0,3,5,93000,41.286283,69.3235123
Yunusobod,4,178.0,7,8,250000,41.3197131,69.2773236
Chilonzor,2,49.0,1,4,34500,41.271386,69.1961168
Uchtepa,1,36.0,4,7,32000,41.2902787,69.1839655
Uchtepa,3,62.0,2,4,42200,41.281265,69.1879213
Yashnobod,2,46.0,2,4,28500,41.2888862,69.3406464
Mirzo Ulugbek,4,85.0,2,4,75000,41.3606566,69.3548004
Chilonzor,2,52.0,2,4,37000,41.2857552,69.2117625
Olmzor,3,70.0,9,9,41000,41.331895,69.250422
Chilonzor,2,42.0,3,4,37000,41.2857552,69.2117625
Chilonzor,3,68.0,4,4,44000,41.2916859,69.2177228
Chilonzor,3,90.0,11,12,58000,41.2916859,69.2177228
Mirobod,4,152.0,2,8,380000,41.2968147,69.268476
Chilonzor,2,52.0,4,5,41000,41.2916859,69.2177228
Chilonzor,2,42.0,3,4,30000,41.2894422,69.2058023
Yunusobod,3,80.0,1,5,59000,41.3667092,69.3101029
Yakkasaroy,7,225.0,7,8,190000,41.2911414,69.2601933
Yakkasaroy,2,90.0,3,4,90000,41.2758912,69.2937133
Mirzo Ulugbek,4,130.0,3,4,195000,41.3104865,69.2922234
Mirzo Ulugbek,3,66.0,2,5,63000,41.322142,69.303611
Yunusobod,5,145.0,3,5,250000,41.3245206,69.2773236
Yakkasaroy,1,30.0,4,4,28000,41.2818558,69.2552666
Shayhontohur,3,70.0,3,9,58000,41.3255305,69.2550845
Sergeli,1,44.9,9,9,19335,41.218274,69.2624237
Yunusobod,4,82.0,1,4,85500,41.3197131,69.2773236
Yunusobod,3,84.0,9,9,55000,41.3667092,69.3101029
Uchtepa,1,72.5,2,5,47000,41.2771751,69.1789807
Yashnobod,1,36.0,1,4,28500,41.2964765,69.345861
Yashnobod,3,84.0,4,4,45000,41.2810181,69.3382775
Yashnobod,3,65.0,3,4,36000,41.2964765,69.345861
Yashnobod,1,40.0,8,9,20500,41.2853546,69.3491897
Yashnobod,2,58.0,2,5,33500,41.2987036,69.3577802
Chilonzor,2,46.0,1,4,28000,41.2710841,69.1849411
Chilonzor,3,65.0,4,4,43500,41.2814312,69.2217633
Yashnobod,3,68.0,1,5,44000,41.3273237,69.2320856
Yashnobod,1,45.0,5,12,25800,41.2922516,69.3419071
Yunusobod,3,87.27,7,9,75000,41.374408,69.2771853
Olmzor,3,78.0,5,5,45000,41.3569165,69.1962565
Yashnobod,4,50.0,1,4,35000,41.286283,69.3235123
Mirzo Ulugbek,2,60.0,2,9,61000,41.3094573,69.2920884
Olmzor,1,45.0,4,4,26000,41.3589705,69.2177228
Yunusobod,2,60.0,9,9,55000,41.3245206,69.2773236
Yakkasaroy,3,93.0,5,8,95000,41.3379184,69.3898602
Mirzo Ulugbek,2,53.0,2,2,29000,41.3292204,69.3473509
Olmzor,2,54.0,1,4,35000,41.2807837,69.223683
Chilonzor,2,50.0,3,4,34500,41.2807837,69.223683
Yunusobod,2,62.0,9,9,38000,41.3692799,69.2981832
Mirobod,2,42.0,4,4,50000,41.2758912,69.2937133
Chilonzor,6,161.0,2,9,155000,41.2753331,69.2052868
Uchtepa,2,58.0,5,9,28200,41.2978921,69.1804708
Mirzo Ulugbek,1,21.0,1,4,21000,41.3445193,69.3447348
Mirzo Ulugbek,2,46.0,4,4,29000,41.3550649,69.3585936
